time,temperature_2m_max,temperature_2m_min,precipitation_sum,city
2022-01-01,13.1,6.8,0.0,Paris
2022-01-02,13.9,8.6,1.2,Paris
2022-01-03,12.1,10.0,5.0,Paris
2022-01-04,11.2,4.3,20.4,Paris
2022-01-05,6.2,0.4,0.0,Paris
2022-01-06,6.1,-2.1,0.0,Paris
2022-01-07,7.7,3.2,5.7,Paris
2022-01-08,8.9,1.7,8.9,Paris
2022-01-09,6.2,1.0,2.7,Paris
2022-01-10,4.1,0.2,0.2,Paris
2022-01-11,3.1,-3.1,0.0,Paris
2022-01-12,3.2,-2.8,0.0,Paris
2022-01-13,5.1,-0.9,0.0,Paris
2022-01-14,6.6,-2.2,0.0,Paris
2022-01-15,3.3,-2.2,0.0,Paris
2022-01-16,4.5,-0.6,0.5,Paris
2022-01-17,7.6,-0.2,0.1,Paris
2022-01-18,9.1,-0.7,0.0,Paris
2022-01-19,6.8,-0.2,2.3,Paris
2022-01-20,6.2,0.6,0.3,Paris
2022-01-21,5.2,0.2,0.0,Paris
2022-01-22,6.2,1.4,0.0,Paris
2022-01-23,5.1,2.3,0.1,Paris
2022-01-24,6.9,-2.2,0.0,Paris
2022-01-25,2.2,-2.7,0.0,Paris
2022-01-26,3.4,0.0,0.0,Paris
2022-01-27,7.1,0.9,0.5,Paris
2022-01-28,8.0,1.3,0.2,Paris
2022-01-29,9.9,5.7,0.5,Paris
2022-01-30,9.4,5.4,0.3,Paris
2022-01-31,8.1,2.0,0.6,Paris
2022-02-01,9.8,0.4,0.8,Paris
2022-02-02,11.1,7.4,0.1,Paris
2022-02-03,8.4,4.1,0.0,Paris
2022-02-04,10.6,3.0,0.8,Paris
2022-02-05,9.6,1.9,0.0,Paris
2022-02-06,10.6,5.7,5.4,Paris
2022-02-07,9.8,2.1,0.1,Paris
2022-02-08,11.8,4.1,0.1,Paris
2022-02-09,11.2,1.7,0.0,Paris
2022-02-10,8.9,5.0,3.1,Paris
2022-02-11,7.9,-0.9,0.0,Paris
2022-02-12,8.0,-2.5,0.0,Paris
2022-02-13,12.6,-0.6,0.1,Paris
2022-02-14,11.4,5.3,1.2,Paris
2022-02-15,10.6,3.3,1.3,Paris
2022-02-16,14.4,8.6,6.3,Paris
2022-02-17,13.4,8.9,0.5,Paris
2022-02-18,12.5,5.8,1.0,Paris
2022-02-19,9.9,2.0,0.5,Paris
2022-02-20,12.9,7.6,1.1,Paris
